,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
49,,2019-10-09T16:20:25.531+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17118309_p_v13_ac.jpg,HTTP/1.1,819,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,36888,,,-1,-1,0,109,-1,28,-1,13.35.198.9,,139,,
50,,2019-10-09T16:20:25.554+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17427848_p_v13_aa.jpg,HTTP/1.1,819,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,40116,,,-1,-1,0,103,-1,25,-1,13.35.198.9,,129,,
51,,2019-10-09T16:20:25.977+03:00,GET,https://cdnssl.clicktale.net/www/ChangeMonitor-latest.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,application/javascript,,,413,15711,,,-1,-1,0,3126,-1,0,-1,104.82.118.247,,3127,,
52,,2019-10-09T16:20:26.860+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17332453_p_v13_aa.jpg,HTTP/1.1,819,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,38881,,,-1,-1,0,107,-1,13,-1,13.35.198.9,,121,,
53,,2019-10-09T16:20:26.962+03:00,POST,https://conductor.clicktale.net/monitor?t=preinit&p=223&2=4324338695533561&v=1.5.5&7=https%3A%2F%2Fwww.flixster.com%2F&3=731414986904456&4=3904258900337436&5=0,HTTP/1.1,570,0,,200,OK,HTTP/1.1,0,text/plain,,,255,1,,,40,1978,0,165,2015,0,0,54.165.202.16,,2224,value,
54,,2019-10-09T16:20:27.194+03:00,GET,https://conductor.clicktale.net/monitor?t=auth&p=223&2=4324338695533561&v=1.5.5,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,text/plain,,,264,1,,,-1,-1,0,204,-1,0,-1,54.165.202.16,,205,value,
55,,2019-10-09T16:20:27.637+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,2257,1,96,2317,25,0,172.217.22.110,,2440,,
56,,2019-10-09T16:20:27.783+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=375488885&t=pageview&_s=1&dl=flixster.com%20%7C%20box%20office&ul=en-us&de=UTF-8&dt=Movies%20%7C%20Flixster&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YGBACAABB~&jid=989332615&gjid=1567790051&cid=1268375366.1570627228&tid=UA-5570351-2&_gid=1735283663.1570627228&_r=1&cd1=flixster.com%20%7C%20box%20office&cd2=flixster.com%20%7C%20box%20office&cd3=flixster.com%20%7C%20box%20office&cd4=flixster.com%20%7C%20box%20office&z=668428551,HTTP/1.1,836,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,0,106,-1,0,-1,172.217.22.110,,107,value,
57,,2019-10-09T16:20:28.686+03:00,GET,https://fandangollc.demdex.net/id?d_visid_ver=4.4.0&d_fieldgroup=MC&d_rtbd=json&d_ver=2&d_orgid=8CF467C25245AE3F0A490D4C%40AdobeOrg&d_nsid=0&ts=1570627225306,HTTP/1.1,554,0,,200,OK,HTTP/1.1,0,application/json;charset=utf-8,,,785,604,,,117,3224,0,98,3258,4,0,54.77.236.71,,3479,value,
58,,2019-10-09T16:20:28.737+03:00,POST,https://conductor.clicktale.net/monitor?t=init&p=223&2=4324338695533561&v=1.5.5,HTTP/1.1,475,496,,200,OK,HTTP/1.1,0,text/plain,,,255,1,,,0,301,0,157,326,0,0,54.165.202.16,,484,value,
59,,2019-10-09T16:20:28.818+03:00,GET,https://fandangollc.demdex.net/dest5.html?d_nsid=0,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/html,,,567,2764,,,-1,-1,1,106,-1,1,-1,54.77.236.71,,108,value,
60,,2019-10-09T16:20:31.182+03:00,GET,https://dmp.v.fwmrm.net/ad/u?mode=echo&cr=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D796%26dpuuid%3D%23%7Buser.id%7D%26gdpr%3D0%26gdpr_consent%3D&gdpr=0&gdpr_consent=,HTTP/1.1,545,0,,403,Forbidden,HTTP/1.1,0,,,,173,0,,,26,1718,0,218,1762,0,0,38.71.2.37,,2008,value,
61,,2019-10-09T16:20:31.921+03:00,POST,https://conductor.clicktale.net/monitor?t=chunk&p=223&2=4324338695533561&v=1.5.5,HTTP/1.1,476,238,,200,OK,HTTP/1.1,0,text/plain,,,255,1,,,-1,-1,0,165,-1,0,-1,54.165.202.16,,166,value,
62,,2019-10-09T16:20:32.456+03:00,GET,https://os.fandango.com/id?d_visid_ver=4.4.0&d_fieldgroup=A&mcorgid=8CF467C25245AE3F0A490D4C%40AdobeOrg&mid=48325666339740994091762163787712852649&ts=1570627228824,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,602,49,,,83,3510,0,100,3539,0,0,63.140.40.156,,3724,value,
