,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
74,,2019-10-11T14:41:57.549+03:00,GET,https://www.codecademy.com/webpack/65.256aad6c4dc74839f2b4.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,336,,,0,-1,-1,0,-1,96,-1,104.20.26.250,,97,
75,,2019-10-11T14:41:57.570+03:00,GET,https://www.codecademy.com/webpack/70.49599b7b57f0b9595047.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1510,,,0,-1,-1,0,-1,145,-1,104.20.26.250,,146,
76,,2019-10-11T14:41:57.620+03:00,GET,https://www.codecademy.com/webpack/78.c75763734da2a155ad44.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,3993,,,0,-1,-1,0,-1,100,-1,104.20.26.250,,101,
77,,2019-10-11T14:41:57.622+03:00,GET,https://www.codecademy.com/webpack/91.e92939fecd8435a9fe3e.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1894,,,0,-1,-1,0,-1,97,-1,104.20.26.250,,97,
78,,2019-10-11T14:41:57.624+03:00,GET,https://www.codecademy.com/webpack/110.c49f0bd683d218ba5410.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,5310,,,0,-1,-1,0,-1,96,-1,104.20.26.250,,96,
79,,2019-10-11T14:41:57.652+03:00,GET,https://www.codecademy.com/webpack/157.00ff16a23eb61935dcc7.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,329,,,0,-1,-1,0,-1,121,-1,104.20.26.250,,122,
80,,2019-10-11T14:41:57.740+03:00,GET,https://www.codecademy.com/webpack/corporate-scenes-Landing.670d9c1678e41e2a5be1.chunk.js,HTTP/1.1,581,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,6805,,,0,-1,-1,0,-1,113,-1,104.20.26.250,,114,
81,,2019-10-11T14:41:57.741+03:00,GET,https://www.codecademy.com/webpack/renderer/17c47851f2b9d7a7062206c5fd12ea42.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,287,,,0,-1,-1,0,-1,98,-1,104.20.26.250,,99,
82,,2019-10-11T14:41:57.741+03:00,GET,https://www.codecademy.com/webpack/renderer/1ca54a931e939a92042749dc8e8036d7.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,664,5220,,,1,-1,-1,0,-1,104,-1,104.20.26.250,,105,
83,,2019-10-11T14:41:57.743+03:00,GET,https://www.codecademy.com/webpack/renderer/0f483471fc5de0fc55d12a9cc626c020.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,664,4224,,,0,-1,-1,0,-1,104,-1,104.20.26.250,,105,
