,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
49,facebook,2019-09-28T18:47:12.503+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2885,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,177,-1,2,-1,1,-1,-1,157.240.1.35,,180,,
50,facebook,2019-09-28T18:47:16.571+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,70,0,0,2954,318,6020,0,172.217.18.3,,6410,,
51,facebook,2019-09-28T18:47:17.006+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=itm6yza2l81z,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9535,,,93,-1,0,-1,28,-1,-1,172.217.22.36,,122,value,
52,facebook,2019-09-28T18:47:17.146+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,82,-1,1,-1,65,-1,-1,172.217.18.3,,149,,
53,facebook,2019-09-28T18:47:17.298+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,78,-1,0,-1,52,-1,-1,172.217.18.3,,131,,
54,facebook,2019-09-28T18:47:17.471+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,65,-1,0,-1,9,-1,-1,172.217.22.36,,75,,
55,facebook,2019-09-28T18:47:17.548+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,108,-1,0,-1,1,-1,-1,172.217.22.36,,110,value,
56,facebook,2019-09-28T18:47:17.614+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=61sbzci0vwgd,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1132,,,76,0,0,73,1,139,0,172.217.22.36,,218,value,
57,facebook,2019-09-28T18:47:17.801+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,64,-1,0,-1,45,-1,-1,172.217.18.3,,110,,
58,facebook,2019-09-28T18:47:17.848+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=w8vwo3%3Aatltft%3Addtu7b&__hsi=6741752832539648123-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569686651,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,0,-1,-1,157.240.1.35,,0,value,No response received
