,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.ssl,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
41,facebook,2019-10-12T14:57:55.152+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yV/l/he_IL/nE5io2huzZU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348397,,,172,-1,-1,0,-1,111,-1,31.13.92.14,,285,value,
42,facebook,2019-10-12T14:57:55.152+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,0,-1,-1,0,-1,100,-1,31.13.92.14,,101,value,
43,facebook,2019-10-12T14:57:55.153+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y-/l/he_IL/eGwNTDKtx18.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38551,,,62,-1,-1,0,-1,100,-1,31.13.92.14,,162,value,
44,facebook,2019-10-12T14:57:56.036+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,135,938,0,0,911,108,23,172.217.22.35,,1206,,
45,facebook,2019-10-12T14:57:56.328+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=tfhuo8h1fqdu,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9563,,,10,-1,-1,0,-1,122,-1,172.217.18.4,,133,value,
46,facebook,2019-10-12T14:57:56.468+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,64,-1,-1,0,-1,111,-1,172.217.22.35,,176,,
47,facebook,2019-10-12T14:57:56.639+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,159,173,0,0,122,90,0,172.217.22.35,,424,,
48,facebook,2019-10-12T14:57:56.919+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,3,-1,-1,0,-1,98,-1,172.217.18.4,,103,,
49,facebook,2019-10-12T14:57:57.014+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=4dsvpare6kwx,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,3,-1,-1,0,-1,95,-1,172.217.18.4,,98,value,
50,facebook,2019-10-12T14:57:57.074+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,149,0,0,111,107,0,172.217.18.4,,259,value,
51,facebook,2019-10-12T14:57:57.191+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001288583&__s=qfpfmj%3Ajgfmdy%3Ameslyu&__hsi=6746889016199912044-0&__spin_r=1001288583&__spin_b=trunk&__spin_t=1570882512,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,0,-1,31.13.92.36,,0,value,No response received
52,facebook,2019-10-12T14:57:57.208+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,0,-1,172.217.22.35,,0,,No response received
