,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.send,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
48,facebook,2019-09-28T19:36:09.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,95,-1,0,-1,-1,2,-1,157.240.1.23,,98,value,
49,facebook,2019-09-28T19:36:11.084+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2880,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,108,-1,0,-1,-1,0,-1,157.240.1.35,,109,,
50,facebook,2019-09-28T19:36:11.139+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,66,1377,0,0,0,261,1443,172.217.21.195,,1773,,
51,facebook,2019-09-28T19:36:11.502+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=m95gwtwx6p9o,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,10105,,,97,-1,0,-1,-1,15,-1,172.217.21.196,,113,value,
52,facebook,2019-09-28T19:36:11.618+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,67,-1,0,-1,-1,91,-1,172.217.21.195,,159,,
53,facebook,2019-09-28T19:36:11.776+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,66,90,0,0,0,281,155,172.217.21.195,,504,,
54,facebook,2019-09-28T19:36:12.184+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,67,-1,0,-1,-1,7,-1,172.217.21.196,,74,,
55,facebook,2019-09-28T19:36:12.262+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,77,-1,0,-1,-1,3,-1,172.217.21.196,,81,value,
56,facebook,2019-09-28T19:36:12.330+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=13vupatgmp8q,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1122,,,80,72,0,0,0,4,141,172.217.21.196,,227,value,
57,facebook,2019-09-28T19:36:12.525+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,-1,,,65,-1,0,-1,-1,0,-1,172.217.21.195,,65,,
58,facebook,2019-09-28T19:36:12.568+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=whj3j8%3A0kqo2v%3Av4jipj&__hsi=6741765455156660976-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569689590,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,0,-1,157.240.1.35,,0,value,No response received
